,beta_rolling_63j
2023-12-01,-0.01276470927541566
2023-12-04,-0.020842304129758564
2023-12-05,-0.03026790509147012
2023-12-06,-0.032173096839673974
2023-12-07,-0.03227193477927395
2023-12-08,-0.03595778075897604
2023-12-11,-0.03598804028302291
2023-12-12,-0.03521167601170456
2023-12-13,-0.034782015237392334
2023-12-14,-0.0005734722839200369
2023-12-15,-0.001533467457437202
2023-12-18,0.0032834484809533254
2023-12-19,0.009481386232510752
2023-12-20,0.012277967495258134
2023-12-21,0.005797623807205262
2023-12-22,0.004010046040649076
2023-12-27,-0.002117255317654291
2023-12-28,0.0039550549336992745
2023-12-29,0.0011800475451348433
2024-01-02,-0.004139702058780596
2024-01-03,-0.022681493953413828
2024-01-04,-0.023110432213882117
2024-01-05,-0.02366975531678442
2024-01-08,-0.02515991014105817
2024-01-09,-0.01156959206129388
2024-01-10,-0.007545663152443966
2024-01-11,0.005147404630396665
2024-01-12,0.003153771236809779
2024-01-15,-0.003975027063343335
2024-01-16,-0.002946497469584207
2024-01-17,0.005686142842379939
2024-01-18,0.006668775261674944
2024-01-19,0.005711280207218316
2024-01-22,0.017792588137054418
2024-01-23,0.008769579121343981
2024-01-24,0.007346742337118221
2024-01-25,0.002781200824432249
2024-01-26,0.015344254522413
2024-01-29,0.01761355517336819
2024-01-30,0.015720934814497607
2024-01-31,0.012168593347595865
2024-02-01,0.01339731316388253
2024-02-02,0.01284535202706921
2024-02-05,0.013174998683417307
2024-02-06,0.006420121943959012
2024-02-07,0.0008509884686291995
2024-02-08,-0.0017745988238465162
2024-02-09,0.03746929695572078
2024-02-12,0.06483317110684965
2024-02-13,0.06543037784430257
2024-02-14,0.06923329488115426
2024-02-15,0.04245717742216375
2024-02-16,0.037064668895038504
2024-02-19,0.031079327265515266
2024-02-20,0.03269093024926653
2024-02-21,0.03748899696959362
2024-02-22,0.02552150360465437
2024-02-23,0.024537247296766963
2024-02-26,0.01892231578735182
2024-02-27,0.017290254665867748
2024-02-28,0.017517989610016375
2024-02-29,-0.015265364271326834
2024-03-01,-0.008270829179095038
2024-03-04,-0.014286848080673136
2024-03-05,0.021510295769094533
2024-03-06,0.05836112227962603
2024-03-07,0.09215960824112109
2024-03-08,0.09918405947090099
2024-03-11,0.09723972310534124
2024-03-12,0.09279575098308285
2024-03-13,0.09559591924176596
2024-03-14,0.09474847609205421
2024-03-15,-0.032172466531276984
2024-03-18,-0.025126463352923543
2024-03-19,-0.03236297546875368
2024-03-20,-0.025725422419464395
2024-03-21,0.010717526775872626
2024-03-22,-0.0009134557446126807
2024-03-25,0.0036425686209633932
2024-03-26,-0.0025048390494468884
2024-03-27,0.00036957855379106066
2024-03-28,-0.0001125088669408273
2024-04-02,0.025015941166005036
2024-04-03,-0.0009295661838372287
2024-04-04,-0.00759581337277033
2024-04-05,-0.006504772448819158
2024-04-08,0.0038347853545233723
2024-04-09,0.018318597845741268
2024-04-10,0.021313237315268883
2024-04-11,-0.00518528178590643
2024-04-12,0.09863475442007232
2024-04-15,0.1833196947221321
2024-04-16,0.12776544282573188
2024-04-17,0.06701142319493299
2024-04-18,0.08870136598484842
2024-04-19,0.08486828209753684
2024-04-22,0.05595430376911873
2024-04-23,0.05809701455333676
2024-04-24,0.049460407491577284
2024-04-25,0.057473862490583345
2024-04-26,0.04412475442375525
2024-04-29,0.014492658055685522
2024-04-30,0.04946794948787416
