,PDAIEUR LX Equity,EXCRISA LX Equity,LUMNUDE LX Equity
2021-05-18,-0.013412340490628978,0.01929632069143032,0.03225165558932397
2021-05-19,-0.012739095124841376,0.01942608963863913,0.03302023899328393
2021-05-20,-0.012823437753280851,0.01938612652680162,0.03236425983815117
2021-05-21,-0.014307146059668204,0.020235991756973017,0.03304347217483559
2021-05-25,,0.020534368541906527,
2021-05-26,-0.014167995935432815,0.02019818062723278,0.03325797630981456
2021-05-27,-0.014275358728306462,0.015826708063352096,0.03337471517988348
2021-05-28,-0.013969878343027941,0.015303323025317348,0.03399379932659926
2021-06-01,-0.014394765938378873,0.014382871651777668,
2021-06-02,-0.014737096071186498,0.014935284517233777,0.034049123959296414
2021-06-03,-0.014714819880956392,0.011123180066879543,0.03402158818065544
2021-06-04,-0.014576899658186588,0.011040629545763701,0.03431801068296823
2021-06-08,-0.014848547895029585,0.010710818651200127,0.034878188495355324
2021-06-09,-0.014572739252216792,0.04294590679382962,0.03544903875670844
2021-06-10,-0.01362703385572381,0.0463074490708086,0.035045606248843564
2021-06-11,-0.013999744542029003,0.04679083022814429,0.0365043269468217
2021-06-15,-0.017469791686929477,-0.0055934066387532235,0.03449103909478359
2021-06-16,-0.02474723064103751,0.017956913709332816,0.034145685330383986
2021-06-17,-0.025643258591019402,0.01184194024704518,0.03526287108943599
2021-06-18,-0.027226553516935894,0.033634088728637136,0.034900981009688546
2021-06-22,-0.027306115593399093,0.02979895559447381,0.03581610153563492
2021-06-23,,0.03348863223834818,
2021-06-24,,0.0383917812964348,
2021-06-25,-0.03038840379336968,0.03863240967045349,0.03555341238197425
2021-06-29,-0.030779661009894144,0.047154356619690925,0.03490087035172176
2021-06-30,-0.03003748337222786,0.05031727027602334,0.03524305631981671
2021-07-01,-0.06251880540573737,0.05330074449925411,0.035865839717572255
2021-07-02,-0.05703277868045828,0.06317519778753175,0.03392680880365525
2021-07-06,-0.05695199046135293,0.06347187914157858,
2021-07-07,-0.0769514807575836,0.07132522036907953,0.03416654470433171
